Provinsi,Rumah Sakit_2018,Rumah Sakit Bersalin_2018,Poliklinik_2018,Puskesmas_2018,Puskesmas Pembantu_2018,Apotek_2018
ACEH,64.0,225.0,258.0,395.0,971.0,346.0
SUMATERA UTARA,199.0,441.0,800.0,661.0,1887.0,740.0
SUMATERA BARAT,54.0,139.0,127.0,294.0,721.0,257.0
RIAU,55.0,207.0,329.0,272.0,1033.0,351.0
JAMBI,36.0,151.0,103.0,231.0,654.0,211.0
SUMATERA SELATAN,65.0,248.0,195.0,403.0,935.0,244.0
BENGKULU,20.0,5.0,49.0,190.0,456.0,141.0
LAMPUNG,53.0,238.0,307.0,350.0,936.0,356.0
KEP. BANGKA BELITUNG,21.0,25.0,25.0,63.0,148.0,73.0
KEP. RIAU,23.0,35.0,76.0,88.0,243.0,90.0
DKI JAKARTA,119.0,156.0,230.0,257.0,3.0,242.0
JAWA BARAT,292.0,1245.0,1670.0,1170.0,1800.0,1758.0
JAWA TENGAH,274.0,871.0,1232.0,921.0,1832.0,2068.0
DI YOGYAKARTA,61.0,102.0,158.0,126.0,300.0,226.0
JAWA TIMUR,317.0,1183.0,1101.0,1036.0,2338.0,1842.0
BANTEN,87.0,280.0,467.0,267.0,346.0,402.0
BALI,49.0,61.0,71.0,124.0,495.0,214.0
NUSA TENGGARA BARAT,31.0,20.0,72.0,173.0,550.0,237.0
NUSA TENGGARA TIMUR,48.0,42.0,108.0,414.0,1030.0,172.0
KALIMANTAN BARAT,39.0,95.0,98.0,264.0,836.0,123.0
KALIMANTAN TENGAH,19.0,63.0,95.0,221.0,1101.0,85.0
KALIMANTAN SELATAN,34.0,126.0,131.0,253.0,464.0,162.0
KALIMANTAN TIMUR,39.0,56.0,125.0,199.0,727.0,196.0
KALIMANTAN UTARA,11.0,4.0,15.0,59.0,179.0,49.0
SULAWESI UTARA,46.0,77.0,68.0,217.0,540.0,170.0
SULAWESI TENGAH,29.0,58.0,60.0,224.0,698.0,181.0
SULAWESI SELATAN,75.0,121.0,180.0,493.0,1394.0,490.0
SULAWESI TENGGARA,31.0,56.0,40.0,283.0,557.0,189.0
GORONTALO,14.0,2.0,42.0,96.0,250.0,97.0
SULAWESI BARAT,10.0,8.0,16.0,100.0,340.0,47.0
MALUKU,27.0,20.0,31.0,235.0,481.0,66.0
MALUKU UTARA,20.0,11.0,28.0,142.0,277.0,76.0
PAPUA BARAT,16.0,10.0,29.0,177.0,495.0,79.0
PAPUA BARAT DAYA,0.0,0.0,0.0,0.0,0.0,0.0
PAPUA,41.0,26.0,115.0,422.0,1146.0,125.0
PAPUA SELATAN,0.0,0.0,0.0,0.0,0.0,0.0
PAPUA TENGAH,0.0,0.0,0.0,0.0,0.0,0.0
PAPUA PEGUNUNGAN,0.0,0.0,0.0,0.0,0.0,0.0
INDONESIA,2319.0,6407.0,8451.0,10820.0,26163.0,12105.0
