Provinsi,Perkotaan_2021,Pedesaan_2021,Perkotaan+Perdesaan_2021
ACEH,23.0,1145.0,1168.0
SUMATERA UTARA,29.0,1542.0,1571.0
SUMATERA BARAT,7.0,214.0,221.0
RIAU,10.0,344.0,354.0
JAMBI,12.0,337.0,349.0
SUMATERA SELATAN,8.0,865.0,873.0
BENGKULU,3.0,358.0,361.0
LAMPUNG,2.0,457.0,459.0
KEP. BANGKA BELITUNG,4.0,31.0,35.0
KEP. RIAU,16.0,122.0,138.0
DKI JAKARTA,1.0,0.0,1.0
JAWA BARAT,51.0,497.0,548.0
JAWA TENGAH,16.0,700.0,716.0
DI YOGYAKARTA,0.0,36.0,36.0
JAWA TIMUR,32.0,682.0,714.0
BANTEN,21.0,323.0,344.0
BALI,1.0,28.0,29.0
NUSA TENGGARA BARAT,3.0,121.0,124.0
NUSA TENGGARA TIMUR,6.0,1468.0,1474.0
KALIMANTAN BARAT,7.0,990.0,997.0
KALIMANTAN TENGAH,8.0,645.0,653.0
KALIMANTAN SELATAN,0.0,330.0,330.0
KALIMANTAN TIMUR,9.0,311.0,320.0
KALIMANTAN UTARA,2.0,171.0,173.0
SULAWESI UTARA,9.0,383.0,392.0
SULAWESI TENGAH,4.0,637.0,641.0
SULAWESI SELATAN,3.0,581.0,584.0
SULAWESI TENGGARA,8.0,741.0,749.0
GORONTALO,2.0,147.0,149.0
SULAWESI BARAT,0.0,252.0,252.0
MALUKU,7.0,445.0,452.0
MALUKU UTARA,10.0,522.0,532.0
PAPUA BARAT,6.0,483.0,489.0
PAPUA BARAT DAYA,0.0,0.0,0.0
PAPUA,10.0,1368.0,1378.0
PAPUA SELATAN,0.0,0.0,0.0
PAPUA TENGAH,0.0,0.0,0.0
PAPUA PEGUNUNGAN,0.0,0.0,0.0
INDONESIA,330.0,17276.0,17606.0
