Provinsi,Jumlah Desa_2024
Aceh,6516.0
Sumatera Utara,6113.0
Sumatera Barat,1265.0
Riau,1867.0
Jambi,1585.0
Sumatera Selatan,3278.0
Bengkulu,1514.0
Lampung,2654.0
Kepulauan Bangka Belitung,393.0
Kepulauan Riau,419.0
DKI Jakarta,267.0
Jawa Barat,5957.0
Jawa Tengah,8563.0
DI Yogyakarta,438.0
Jawa Timur,8494.0
Banten,1552.0
Bali,717.0
Nusa Tenggara Barat,1166.0
Nusa Tenggara Timur,3442.0
Kalimantan Barat,2151.0
Kalimantan Tengah,1574.0
Kalimantan Selatan,2015.0
Kalimantan Timur,1038.0
Kalimantan Utara,484.0
Sulawesi Utara,1838.0
Sulawesi Tengah,2020.0
Sulawesi Selatan,3060.0
Sulawesi Tenggara,2292.0
Gorontalo,732.0
Sulawesi Barat,650.0
Maluku,1248.0
Maluku Utara,1198.0
Papua Barat,969.0
Papua Barat Daya,1018.0
Papua,1029.0
Papua Selatan,690.0
Papua Tengah,1208.0
Papua Pegunungan,2634.0
Indonesia,84048.0
Catatan,0.0
1Termasuk Unit Permukiman Transmigrasi (UPT)/ Include Transmigration Settlement Unit ,0.0
